Average m/z,Average rt,Average sn,Average score,/home/hack_summer/mass-suite/example_data/ex_2.mzM,/home/hack_summer/mass-suite/example_data/ex_1.mzM,/home/hack_summer/mass-suite/example_data/ex_3.mzM
349.3148,15.56,4.033,1.0,0.0,187728.16,0.0
351.00305,0.637,5000.0,1.0,1052716.0,1069504.6,983772.9
353.27072,15.667,5000.0,1.0,12632180.0,12171406.0,14136511.0
354.2754,15.52,3336.557,1.0,2003093.4,1875853.9,1884486.4
354.2896,10.917,5000.0,1.0,5470899.0,5148773.0,5291166.0
357.23047,7.097,5000.0,1.0,579171.3,639697.1,568401.94
359.2054,7.147,5000.0,1.0,156536450.0,11450578.0,159390420.0
359.3204,16.527,3340.6497,1.0,4433453.0,4697356.0,4350799.0
359.37067,6.7,5000.0,1.0,7578104.5,7663404.5,7588647.5
360.2126,6.7,3358.4949,1.0,14093966.0,14154177.0,14066910.0
361.21536,6.74,3334.917,1.0,2278813.0,2540244.0,2372960.0
361.22263,5.957,5000.0,1.0,5191545.0,5290841.5,5125580.0
363.32376,13.883,5000.0,1.0,8725254.0,8765246.0,7654130.0
364.3279,13.827,5000.0,1.0,527033.56,584372.5,528857.1
366.3226,13.91,3350.7317,1.0,21962326.0,7134830.5,21717246.0
367.32764,13.907,5000.0,1.0,3718774.8,3788061.2,3782888.5
371.27917,13.907,5000.0,1.0,2508348.8,2521613.8,2538867.8
373.2297,7.95,5000.0,1.0,471266.75,534486.06,525885.4
376.34793,16.59,5000.0,1.0,5183438.0,5601973.0,4709124.5
377.21448,5.877,3350.0732,1.0,4081780.0,12252034.0,4079692.5
378.21924,5.717,5000.0,1.0,1182284.4,1307115.6,1278681.1
381.30283,16.62,5000.0,1.0,11032390.0,11675094.0,10834980.0
382.28015,6.827,3336.6594,1.0,2888935.0,1076601.1,2830738.5
382.30313,16.467,3335.7786,1.0,1911462.0,1997360.2,1970170.8
384.2963,7.21,5000.0,1.0,7311874.5,4470062.5,7341009.0
388.2594,4.19,5000.0,1.0,1428483.8,1431832.0,1420683.0
388.3992,15.26,5000.0,1.0,423829.38,421330.75,367449.28
389.22083,7.147,3337.9006,1.0,3759229.5,4801428.5,8062134.0
389.2315,7.295,2501.947,1.0,1177061.6,0.0,1423322.8
391.1825,4.74,5000.0,1.0,189199.06,0.0,187311.38
391.2344,6.7,5000.0,1.0,119377030.0,120868130.0,119023890.0
391.29175,16.8,5000.0,1.0,3513492.5,3908683.2,3517211.5
391.40137,6.697,3338.162,1.0,5914898.0,6152958.0,5738839.5
392.23987,6.7,5000.0,1.0,22253938.0,22423842.0,22207912.0
393.2374,6.687,3336.8918,1.0,2531105.0,2503982.5,2507121.5
395.31128,16.817,5000.0,1.0,3952125.0,4061548.5,3967255.0
399.2523,12.69,5000.0,1.0,9033310.0,9058846.0,17387228.0
400.2596,12.69,3337.5613,1.0,2527042.5,2581030.2,2568382.0
407.22803,6.123,5000.0,1.0,739564.25,739179.8,747538.56
407.342,13.94,5000.0,1.0,3964136.0,4042466.5,3770828.8
410.34286,13.97,5000.0,1.0,13912172.0,13938560.0,13895738.0
411.35355,13.963,5000.0,1.0,2562403.8,2567779.5,2513483.2
413.21704,6.697,5000.0,1.0,10064812.0,10198635.0,10070366.0
415.22183,10.077,5000.0,1.0,350446.44,299887.4,401276.28
415.30493,13.963,5000.0,1.0,662252.5,601440.56,653751.9
419.31943,17.35,5000.0,1.0,16117224.0,15400463.0,16073733.0
420.327,17.31,5000.0,1.0,3275613.8,3266151.0,3158777.8
421.2443,7.147,3368.1016,1.0,30465986.0,30910246.0,30494384.0
422.248,7.183,5000.0,1.0,5243376.0,5419965.5,5323840.0
426.9952,0.637,3337.4417,1.0,1574603.2,1593872.4,1575437.0
432.24503,10.077,5000.0,1.0,1424253.8,1478019.2,1415322.1
432.28247,4.383,5000.0,1.0,823053.6,1178106.8,710905.94
433.00644,0.64,5000.0,1.0,1214442.5,1267537.6,1184520.6
433.3357,17.533,3335.43,1.0,665874.0,672447.8,619128.6
435.2726,5.717,3336.1335,1.0,1064820.8,1170068.5,1174807.2
440.3247,8.003,5000.0,1.0,2555922.2,2507502.0,2533831.8
441.3033,17.293,5000.0,1.0,2513564.0,2406057.2,2518551.2
442.3401,8.453,5000.0,1.0,4535508.5,9764896.0,2474426.0
443.2286,7.133,5000.0,1.0,1075112.5,1140723.4,1135247.6
449.28265,6.683,5000.0,1.0,2232916.0,3995888.5,4064776.0
449.3456,16.707,5000.0,1.0,4995275.5,5015190.0,4922713.5
450.3437,16.71,5000.0,1.0,0.0,189344.47,0.0
451.25485,7.577,5000.0,1.0,2778473.0,2842765.2,2750162.2
453.36856,16.783,5000.0,1.0,5210542.0,5340707.5,2771562.2
454.30652,6.927,5000.0,1.0,774000.7,837421.8,676856.7
454.37012,14.013,5000.0,1.0,5502256.5,5613725.0,5513868.0
454.37012,16.673,5000.0,1.0,528187.8,584519.0,526363.7
455.3794,14.02,5000.0,1.0,0.0,187828.22,0.0
